BusinessName,Address,CITY,State,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,Latitude,Longitude,Neighbourhood
# 7 RESTAURANT,225 Grove,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,3/23/07 15:20,42.261873,-71.15741,West Roxbury
100 Percent Delicia Food,635 Hyde Park,Roslindale,MA,2131,Active,FS,Eating & Drinking,2/15/13 10:46,42.27859,-71.11944,Roslindale
100 Percent Delicias Express,656 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,11/28/17 10:27,42.31283,-71.11386,Jamaica Plain
11 Dining -16th Fl.,200 Berkeley,Boston,MA,2116,Active,FS,Eating & Drinking,12/20/19 9:32,42.34986,-71.07291,Back Bay
110 Grill,25 Jan Karski,Dorchester,MA,2125,Active,FS,Eating & Drinking,11/29/18 14:14,0,0,Dorchester
129 Lake Street Cafe,127 LAKE,Brighton/,MA,2135,Active,FS,Eating & Drinking,10/14/10 12:49,0,0,Brighton
149 Eat Street,300 CHELSEA,Charlestown/,MA,2129,Active,FS,Eating & Drinking,10/11/07 9:08,0,0,Charlestown
163 Vietnamese Sandwich,66 Harrison,BOSTON,MA,2111,Active,FS,Eating & Drinking,8/9/07 13:26,0,0,Downtown
20TH CENTRY BOWLING LANES,1231 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.25682,-71.12411,Hyde Park
21 ST. AMENDMENT,150 Bowdoin,Boston,MA,2108,Active,FS,Eating & Drinking,12/7/06 13:34,42.358336,-71.062581,Downtown
224 BOSTON,224 Boston,Dorchester,MA,2125,Active,FS,Eating & Drinking,8/1/18 15:20,42.322272,-71.060848,Dorchester
320 Cafe,314 Spring,West Roxbury,MA,2132,Active,FS,Eating & Drinking,8/23/17 13:20,42.271712,-71.17211,West Roxbury
410- North End Butcher,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,1/28/09 11:01,0,0,West End
417-Sal's Pizza,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2/1/09 11:31,0,0,West End
49 Social,49 Temple,Boston,MA,2111,Active,FS,Eating & Drinking,3/21/11 13:03,42.35493,-71.061809,Downtown
50 Kitchen & Eatery,1450 Dorchester,Boston,MA,2122,Active,FS,Eating & Drinking,4/20/18 11:35,0,0,Dorchester
50/50 Lounge,1 Dalton,Boston,MA,2115,Active,FS,Eating & Drinking,7/2/20 11:47,0,0,Fenway
73 Cafe,73 Tremont,Boston,MA,2108,Active,FS,Eating & Drinking,6/25/10 10:28,42.35788,-71.06082,Downtown
75 CHESTNUT,75 Chestnut,Boston,MA,2108,Active,FS,Eating & Drinking,12/7/06 13:34,42.356898,-71.070971,Beacon Hill
75 On Liberty Wharf,220 Northern,Boston,MA,2210,Active,FS,Eating & Drinking,5/18/12 10:28,0,0,South Boston Waterfront
753 South,749 South,Roslindale,MA,2131,Active,FS,Eating & Drinking,4/21/17 13:23,42.28716,-71.12912,Roslindale
89 Broad Street/Fin Point,89 Broad,Boston,MA,2110,Active,FS,Eating & Drinking,8/4/16 9:06,42.35744,-71.05316,Downtown
