"","INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location","Neighbourhood"
"2986","I152105248",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A1",75,"","12/21/15 17:03",2015,12,"Monday",17,"Part Two","FRIEND ST",42.363172,-71.059599,"(42.36317200, -71.05959900)","Downtown"
"29925","I152075696",2646,"Liquor Violation","LIQUOR - DRINKING IN PUBLIC","B2",901,"","9/12/15 0:30",2015,9,"Saturday",0,"Part Two","SAINT ALPHONSUS ST",42.3351998,-71.0998949,"(42.33519980, -71.09989490)","Mission Hill"
"29710","I152075935",2907,"Violations","VAL - OPERATING AFTER REV/SUSP.","E5",670,"","9/12/15 20:42",2015,9,"Saturday",20,"Part Two","CENTRE ST",42.29446344,-71.13581409,"(42.29446344, -71.13581409)","#N/A"
"37529","I152067298",3130,"Search Warrants","SEARCH WARRANT","A1",77,"","8/10/15 10:37",2015,8,"Monday",10,"Part Three","BULFINCH PL",42.36152577,-71.06133846,"(42.36152577, -71.06133846)","Downtown"
"2757","I152105493",613,"Larceny","LARCENY SHOPLIFTING","D14",794,"","12/22/15 14:07",2015,12,"Tuesday",14,"Part One","COMMONWEALTH AVE",42.34835708,-71.13645291,"(42.34835708, -71.13645291)","Allston"
"45404","I152058650",1402,"Vandalism","VANDALISM","B3",451,"","7/15/15 22:19",2015,7,"Wednesday",22,"Part Two","TREMLETT ST",42.29472275,-71.07058534,"(42.29472275, -71.07058534)","Dorchester"
"46435","I152057529",2907,"Violations","VAL - OPERATING AFTER REV/SUSP.","B2",324,"","7/12/15 13:08",2015,7,"Sunday",13,"Part Two","DACIA ST",42.31804139,-71.07617935,"(42.31804139, -71.07617935)","Dorchester"
"38938","I152065756",2403,"Disorderly Conduct","DISTURBING THE PEACE","B2",328,"","8/9/15 0:23",2015,8,"Sunday",0,"Part Two","FERNBORO ST",42.31129587,-71.07728269,"(42.31129587, -71.07728269)","Dorchester"
"9642","I152097866",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A1",112,"","11/25/15 18:24",2015,11,"Wednesday",18,"Part Two","WASHINGTON ST",42.35512339,-71.0608798,"(42.35512339, -71.06087980)","Downtown"
"52132","I152050979",1501,"Firearm Violations","WEAPON - FIREARM - CARRYING / POSSESSING, ETC","B3",434,"","6/19/15 21:54",2015,6,"Friday",21,"Part Two","EVANS ST",42.28252537,-71.07977256,"(42.28252537, -71.07977256)","Dorchester"
"31313","I152074207",2657,"Other","VIOLATION - CITY ORDINANCE","B2",316,"","9/7/15 1:22",2015,9,"Monday",1,"Part Two","RUTHVEN ST",42.31410481,-71.09291975,"(42.31410481, -71.09291975)","Roxbury"
"14183","I152092829",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","C6",191,"","11/8/15 15:00",2015,11,"Sunday",15,"Part Three","DORCHESTER AVE",42.32949944,-71.05701312,"(42.32949944, -71.05701312)","South Boston"
"15180","I152091703",2907,"Violations","VAL - OPERATING AFTER REV/SUSP.","B2",318,"","11/4/15 19:46",2015,11,"Wednesday",19,"Part Two","HUMBOLDT AVE",42.31116648,-71.09108923,"(42.31116648, -71.09108923)","Roxbury"
"27168","I152078678",616,"Larceny","LARCENY THEFT OF BICYCLE","B3",446,"","9/21/15 17:11",2015,9,"Monday",17,"Part One","ATHELWOLD ST",42.29603943,-71.07717023,"(42.29603943, -71.07717023)","Dorchester"
"24173","I152081916",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B3",432,"","10/2/15 13:18",2015,10,"Friday",13,"Part Three","MOUNTAIN AVE",42.28399453,-71.08524298,"(42.28399453, -71.08524298)","Dorchester"
"9097","I152098447",3201,"Property Lost","PROPERTY - LOST","A1",68,"","11/21/15 19:00",2015,11,"Saturday",19,"Part Three","TEMPLE ST",42.35986852,-71.0636004,"(42.35986852, -71.06360040)","Beacon Hill"
